Line #,Key,en Version,ka Translation
747,ka.root.explore_time_series.no_data,"At this time, no time series have been created in the site.",ამ მომენტისთვის ვებ-გვერდზე არ შექმნილა პერიოდული შედარება.
748,ka.root.explore_time_series.no_match,"Sorry, no time series match your search request.","უკაცრავად, თქვენს მოთხოვნას არცერთი პერიოდული შედარება არ შეესაბამება"
749,ka.root.explore_data_time_series.no_match,"Sorry, no time series match your search request.","უკაცრავად, თქვენს მოთხოვნას არცერთი პერიოდული შედარება არ შეესაბამება"
750,ka.root.explore_time_series_show.title,Explore Time Series Data,გაეცანით პერიოდული შედარების მონაცემებს
751,ka.root.highlights.title,Highlights,Highlights
752,ka.root.highlights.explanation,Below is a collection of data highlights from all datasets and time series. The most recently generated highlights are shown first.,Below is a collection of data highlights from all datasets and time series. The most recently generated highlights are shown first.
753,ka.root.highlights.no_highlights,"Sorry, no highglights have been created yet.","Sorry, no highglights have been created yet."
754,ka.api.msgs.no_key,You must provide an API Access Token in order to use the API. You can quickly get a API Access Token by going to %{url}.,API-ს გამოსაყენებლად თქვენ უნდა წარმაოდგინოთ API-ს დაშვების გასაღები. თქენ მარტივად შეგიძლიათ API-ის დაშვების გასაღების მიღება შემდეგ მისამართზე გადასვლით %{url}.
755,ka.api.msgs.no_dataset,The Dataset could not be found.,მონაცემთა ცხრილი ვერ მოიძებნა
756,ka.api.msgs.no_question,The Question could not be found.,კითხვა ვერ მოიძებნა
757,ka.api.msgs.no_broken_down_by,The Broken Down By Question could not be found.,კითხვებით ჩაშლა ვერ მოიძებნა
758,ka.api.msgs.no_filtered_by,The Filter By Question could not be found.,კითხვებით გაფილტრვა ვერ მოიძებნა
759,ka.api.msgs.no_time_series,The Time Series could not be found.,პერიოდული შედარება ვერ მოიძებნა
760,ka.api.msgs.no_time_series_dataset,The Time Series does not have any datasets assigned to it.,პერიოდული შედარებას არ აქვს მასთან დაკავშირებული მონაცემთა ცხრილი.
761,ka.api.msgs.no_time_series_dataset_error,There was an error getting the data for the datasets in the time series.,პერიოდული შედარებაში მონაცემთა ცხრილის მიღების დროს წარმოიშვა პრობლემა.
762,ka.api.msgs.missing_required_params,Please provide all required parameters.,Please provide all required parameters.
763,ka.api.index.title,API,API
764,ka.api.index.no_versions,No documentation for the API has been created yet.,API-სთვის დოკუმენტაცია ჯერ არ შექმნილა
765,ka.api.index.no_methods,No documentation for this version has been created yet.,ამ ვერსიისთვის დოკუმენტაცია ჯერ არ შექმნილა
766,ka.api.documentation.no_content,No documentation for this method has been created yet.,ამ მეთოდისთვის დოკუმენტაცია ჯერ არ შექმნილა
767,ka.datasets.index.view_warnings,View Details,დეტალების ნახვა
768,ka.datasets.warnings.title,Warnings,გაფრთხილება
769,ka.datasets.warnings.tab_bad_answers,Questions with Bad Answers,კითხვები ცუდი პასუხებით
770,ka.datasets.warnings.tab_no_answers,Questions with No Answers,კითხვები პასუხების გარეშე
771,ka.datasets.warnings.tab_no_text,Questions with No Text,კითხვები ტექსტის გარეშე
